Timestamp;PV usage [0:1];buy_el[ecent/kWh];sell_el[ecent/kWh];Lastgang_[W]
03.01.2013 13:30;0.015859938;28;10;8600
03.01.2013 13:45;0.010092688;28;10;8500
03.01.2013 14:00;0.003295572;28;10;4600
03.01.2013 14:15;0.005149331;28;10;4200
03.01.2013 14:30;0.003295572;28;10;4200
03.01.2013 14:45;0;28;10;6700
03.01.2013 15:00;0.002265705;28;10;9900
03.01.2013 15:15;0;28;10;8000
03.01.2013 15:30;0;28;10;6100
03.01.2013 15:45;0;28;10;6200
03.01.2013 16:00;0;28;10;5800
03.01.2013 16:15;0;28;10;10200
03.01.2013 16:30;0;28;10;10500
03.01.2013 16:45;0;28;10;7200
03.01.2013 17:00;0;28;10;7400
03.01.2013 17:15;0;28;10;7100
03.01.2013 17:30;0;28;10;8300
03.01.2013 17:45;0;28;10;12200
03.01.2013 18:00;0;28;10;11500
03.01.2013 18:15;0;28;10;7900
03.01.2013 18:30;0;28;10;7800
03.01.2013 18:45;0;28;10;8100
03.01.2013 19:00;0;28;10;9900
03.01.2013 19:15;0;28;10;12200
03.01.2013 19:30;0;28;10;9900
03.01.2013 19:45;0;28;10;7800
03.01.2013 20:00;0;28;10;8000
03.01.2013 20:15;0;28;10;7700
03.01.2013 20:30;0;28;10;10600
03.01.2013 20:45;0;28;10;12200
03.01.2013 21:00;0;28;10;9400
03.01.2013 21:15;0;28;10;8000
03.01.2013 21:30;0;28;10;7800
03.01.2013 21:45;0;28;10;7800
03.01.2013 22:00;0;28;10;11000
03.01.2013 22:15;0;28;10;11400
03.01.2013 22:30;0;28;10;7700
03.01.2013 22:45;0;28;10;7000
03.01.2013 23:00;0;28;10;7200
03.01.2013 23:15;0;28;10;7400
03.01.2013 23:30;0;28;10;10700
03.01.2013 23:45;0;28;10;11400
04.01.2013 00:00;0;28;10;7600
04.01.2013 00:15;0;28;10;7100
04.01.2013 00:30;0;28;10;7200
04.01.2013 00:45;0;28;10;7000
04.01.2013 01:00;0;28;10;10300
04.01.2013 01:15;0;28;10;11600
04.01.2013 01:30;0;28;10;7800
04.01.2013 01:45;0;28;10;7300
04.01.2013 02:00;0;28;10;7000
04.01.2013 02:15;0;28;10;7200
04.01.2013 02:30;0;28;10;9800
04.01.2013 02:45;0;28;10;11300
04.01.2013 03:00;0;28;10;8600
04.01.2013 03:15;0;28;10;7000
04.01.2013 03:30;0;28;10;7400
04.01.2013 03:45;0;28;10;7000
04.01.2013 04:00;0;28;10;9800
04.01.2013 04:15;0;28;10;11500
04.01.2013 04:30;0;28;10;9100
04.01.2013 04:45;0;28;10;7800
04.01.2013 05:00;0;28;10;7700
04.01.2013 05:15;0;28;10;8100
04.01.2013 05:30;0;28;10;11000
04.01.2013 05:45;0;28;10;12100
04.01.2013 06:00;0;28;10;8600
04.01.2013 06:15;0;28;10;7700
04.01.2013 06:30;0;28;10;8100
04.01.2013 06:45;0;28;10;7700
04.01.2013 07:00;0;28;10;10400
04.01.2013 07:15;0;28;10;11400
04.01.2013 07:30;0;28;10;8200
04.01.2013 07:45;0;28;10;7100
04.01.2013 08:00;0;28;10;6900
04.01.2013 08:15;0.001235839;28;10;6100
04.01.2013 08:30;0.005355304;28;10;7400
04.01.2013 08:45;0.005149331;28;10;10200
04.01.2013 09:00;0.023274974;28;10;6700
04.01.2013 09:15;0.030072091;28;10;4700
04.01.2013 09:30;0.038105046;28;10;4500
04.01.2013 09:45;0.02554068;28;10;4200
04.01.2013 10:00;0.024510814;28;10;4500
04.01.2013 10:15;0.05046344;28;10;7800
04.01.2013 10:30;0.059526262;28;10;8900
04.01.2013 10:45;0.058702369;28;10;4500
04.01.2013 11:00;0.036045314;28;10;4600
04.01.2013 11:15;0.035427394;28;10;4300
04.01.2013 11:30;0.039340886;28;10;4200
04.01.2013 11:45;0.014624099;28;10;6600
04.01.2013 12:00;0.02492276;28;10;8500
04.01.2013 12:15;0.02430484;28;10;5800
04.01.2013 12:30;0.032749743;28;10;4200
04.01.2013 12:45;0.066529351;28;10;4600
04.01.2013 13:00;0.062203913;28;10;4200
04.01.2013 13:15;0.049021627;28;10;4400
04.01.2013 13:30;0.029660144;28;10;8200
04.01.2013 13:45;0.016889804;28;10;7800
04.01.2013 14:00;0.018125644;28;10;4400
04.01.2013 14:15;0.016065911;28;10;4200
04.01.2013 14:30;0.006591143;28;10;4400
04.01.2013 14:45;0.005973223;28;10;4200
04.01.2013 15:00;0;28;10;5900
04.01.2013 15:15;0;28;10;8700
04.01.2013 15:30;0;28;10;5700
04.01.2013 15:45;0;28;10;4500
04.01.2013 16:00;0;28;10;4300
04.01.2013 16:15;0;28;10;4500
04.01.2013 16:30;0;28;10;4300
04.01.2013 16:45;0;28;10;5700
04.01.2013 17:00;0;28;10;9900
04.01.2013 17:15;0;28;10;7800
04.01.2013 17:30;0;28;10;6200
04.01.2013 17:45;0;28;10;6200
04.01.2013 18:00;0;28;10;6000
04.01.2013 18:15;0;28;10;6200
04.01.2013 18:30;0;28;10;7800
04.01.2013 18:45;0;28;10;10700
04.01.2013 19:00;0;28;10;7400
04.01.2013 19:15;0;28;10;6200
04.01.2013 19:30;0;28;10;6100
04.01.2013 19:45;0;28;10;6100
04.01.2013 20:00;0;28;10;6300
04.01.2013 20:15;0;28;10;9400
04.01.2013 20:30;0;28;10;10600
04.01.2013 20:45;0;28;10;6200
04.01.2013 21:00;0;28;10;6200
04.01.2013 21:15;0;28;10;6200
04.01.2013 21:30;0;28;10;6100
04.01.2013 21:45;0;28;10;6300
04.01.2013 22:00;0;28;10;9400
04.01.2013 22:15;0;28;10;9000
04.01.2013 22:30;0;28;10;5400
04.01.2013 22:45;0;28;10;5700
04.01.2013 23:00;0;28;10;5200
04.01.2013 23:15;0;28;10;5500
04.01.2013 23:30;0;28;10;6900
04.01.2013 23:45;0;28;10;9900
05.01.2013 00:00;0;28;10;7200
05.01.2013 00:15;0;28;10;5300
05.01.2013 00:30;0;28;10;5400
05.01.2013 00:45;0;28;10;5300
05.01.2013 01:00;0;28;10;5600
05.01.2013 01:15;0;28;10;8600
05.01.2013 01:30;0;28;10;9600
05.01.2013 01:45;0;28;10;5400
05.01.2013 02:00;0;28;10;5400
05.01.2013 02:15;0;28;10;5600
05.01.2013 02:30;0;28;10;5300
05.01.2013 02:45;0;28;10;6200
05.01.2013 03:00;0;28;10;9800
05.01.2013 03:15;0;28;10;7900
05.01.2013 03:30;0;28;10;5400
05.01.2013 03:45;0;28;10;5600
05.01.2013 04:00;0;28;10;5400
05.01.2013 04:15;0;28;10;5400
05.01.2013 04:30;0;28;10;8900
05.01.2013 04:45;0;28;10;10200
05.01.2013 05:00;0;28;10;6700
05.01.2013 05:15;0;28;10;6100
05.01.2013 05:30;0;28;10;6100
05.01.2013 05:45;0;28;10;6000
05.01.2013 06:00;0;28;10;7100
05.01.2013 06:15;0;28;10;10400
05.01.2013 06:30;0;28;10;8400
05.01.2013 06:45;0;28;10;6200
05.01.2013 07:00;0;28;10;5400
05.01.2013 07:15;0;28;10;5600
05.01.2013 07:30;0;28;10;5400
05.01.2013 07:45;0;28;10;8800
05.01.2013 08:00;0.002677652;28;10;9500
05.01.2013 08:15;0.004119464;28;10;5000
05.01.2013 08:30;0.01215242;28;10;5400
05.01.2013 08:45;0.01277034;28;10;5100
05.01.2013 09:00;0.018743563;28;10;5200
05.01.2013 09:15;0.020803296;28;10;8600
05.01.2013 09:30;0.020185376;28;10;8600
05.01.2013 09:45;0.035427394;28;10;6700
05.01.2013 10:00;0.048197734;28;10;4200
05.01.2013 10:15;0.028836251;28;10;4500
05.01.2013 10:30;0.027394439;28;10;4400
05.01.2013 10:45;0.032337796;28;10;6200
05.01.2013 11:00;0.047785788;28;10;9000
05.01.2013 11:15;0.06323378;28;10;6000
05.01.2013 11:30;0.076416066;28;10;4200
05.01.2013 11:45;0.076828012;28;10;4300
05.01.2013 12:00;0.049639547;28;10;4300
05.01.2013 12:15;0.064057673;28;10;7500
05.01.2013 12:30;0.044490216;28;10;8500
